"Eye of Eternity N25",Malygos,"Arcanic Tramplers",epic,40558,https://wowhead.com/wotlk/item=40558
"Eye of Eternity N25",Malygos,"Blanketing Robes of Snow",epic,40194,https://wowhead.com/wotlk/item=40194
"Eye of Eternity N25",Malygos,"Blue Aspect Helm",epic,40543,https://wowhead.com/wotlk/item=40543
"Eye of Eternity N25",Malygos,"Boots of Healing Energies",epic,40592,https://wowhead.com/wotlk/item=40592
"Eye of Eternity N25",Malygos,"Boots of the Renewed Flight",epic,40549,https://wowhead.com/wotlk/item=40549
"Eye of Eternity N25",Malygos,"Chestguard of the Recluse",epic,40539,https://wowhead.com/wotlk/item=40539
"Eye of Eternity N25",Malygos,"Elevated Lair Pauldrons",epic,40590,https://wowhead.com/wotlk/item=40590
"Eye of Eternity N25",Malygos,"Frosted Adroit Handguards",epic,40541,https://wowhead.com/wotlk/item=40541
"Eye of Eternity N25",Malygos,"Hood of Rationality",epic,40562,https://wowhead.com/wotlk/item=40562
"Eye of Eternity N25",Malygos,"Leash of Heedless Magic",epic,40561,https://wowhead.com/wotlk/item=40561
"Eye of Eternity N25",Malygos,"Leggings of the Wanton Spellcaster",epic,40560,https://wowhead.com/wotlk/item=40560
"Eye of Eternity N25",Malygos,"Legplates of Sovereignty",epic,40589,https://wowhead.com/wotlk/item=40589
"Eye of Eternity N25",Malygos,"Living Ice Crystals",epic,40532,https://wowhead.com/wotlk/item=40532
"Eye of Eternity N25",Malygos,"Mantle of Dissemination",epic,40555,https://wowhead.com/wotlk/item=40555
"Eye of Eternity N25",Malygos,"Mark of Norgannon",epic,40531,https://wowhead.com/wotlk/item=40531
"Eye of Eternity N25",Malygos,"Melancholy Sabatons",epic,40591,https://wowhead.com/wotlk/item=40591
"Eye of Eternity N25",Malygos,"Reins of the Azure Drake",epic,43952,https://wowhead.com/wotlk/item=43952
"Eye of Eternity N25",Malygos,"Spaulders of Catatonia",epic,40594,https://wowhead.com/wotlk/item=40594
"Eye of Eternity N25",Malygos,"Tunic of the Artifact Guardian",epic,40588,https://wowhead.com/wotlk/item=40588
"Eye of Eternity N25",Malygos,"Unravelling Strands of Sanity",epic,40566,https://wowhead.com/wotlk/item=40566
"Eye of Eternity N25",Malygos,"Winter Spectacle Gloves",epic,40564,https://wowhead.com/wotlk/item=40564
"Eye of Eternity N10",Malygos,"Barricade of Eternity",epic,40475,https://wowhead.com/wotlk/item=40475
"Eye of Eternity N10",Malygos,"Black Ice",epic,40497,https://wowhead.com/wotlk/item=40497
"Eye of Eternity N10",Malygos,"Focusing Energy Epaulets",epic,40511,https://wowhead.com/wotlk/item=40511
"Eye of Eternity N10",Malygos,"Footsteps of Malygos",epic,40519,https://wowhead.com/wotlk/item=40519
"Eye of Eternity N10",Malygos,"Gown of the Spell-Weaver",epic,40526,https://wowhead.com/wotlk/item=40526
"Eye of Eternity N10",Malygos,"Greatstaff of the Nexus",epic,40489,https://wowhead.com/wotlk/item=40489
"Eye of Eternity N10",Malygos,Hailstorm,epic,40491,https://wowhead.com/wotlk/item=40491
"Eye of Eternity N10",Malygos,"Ice Spire Scepter",epic,40488,https://wowhead.com/wotlk/item=40488
"Eye of Eternity N10",Malygos,"Necklace of the Glittering Chamber",epic,40486,https://wowhead.com/wotlk/item=40486
"Eye of Eternity N10",Malygos,"Reins of the Azure Drake",epic,43952,https://wowhead.com/wotlk/item=43952
"Eye of Eternity N10",Malygos,"Reins of the Blue Drake",epic,43953,https://wowhead.com/wotlk/item=43953
"Eye of Eternity N10",Malygos,"Surge Needle Ring",epic,40474,https://wowhead.com/wotlk/item=40474
