"Vault of Archavon N25",Archavon,"Deadly Gladiator's Chain Armor",epic,41086,https://wowhead.com/wotlk/item=41086
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Chain Gauntlets",epic,41142,https://wowhead.com/wotlk/item=41142
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Chain Leggings",epic,41204,https://wowhead.com/wotlk/item=41204
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Dragonhide Gloves",epic,41772,https://wowhead.com/wotlk/item=41772
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Dragonhide Legguards",epic,41666,https://wowhead.com/wotlk/item=41666
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Dragonhide Robes",epic,41660,https://wowhead.com/wotlk/item=41660
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Dreadplate Chestpiece",epic,40784,https://wowhead.com/wotlk/item=40784
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Dreadplate Gauntlets",epic,40806,https://wowhead.com/wotlk/item=40806
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Dreadplate Legguards",epic,40845,https://wowhead.com/wotlk/item=40845
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Felweave Handguards",epic,42016,https://wowhead.com/wotlk/item=42016
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Felweave Raiment",epic,41997,https://wowhead.com/wotlk/item=41997
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Felweave Trousers",epic,42004,https://wowhead.com/wotlk/item=42004
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Kodohide Gloves",epic,41286,https://wowhead.com/wotlk/item=41286
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Kodohide Legguards",epic,41297,https://wowhead.com/wotlk/item=41297
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Kodohide Robes",epic,41309,https://wowhead.com/wotlk/item=41309
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Leather Gloves",epic,41766,https://wowhead.com/wotlk/item=41766
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Leather Legguards",epic,41654,https://wowhead.com/wotlk/item=41654
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Leather Tunic",epic,41649,https://wowhead.com/wotlk/item=41649
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Linked Armor",epic,41080,https://wowhead.com/wotlk/item=41080
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Linked Gauntlets",epic,41136,https://wowhead.com/wotlk/item=41136
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Linked Leggings",epic,41198,https://wowhead.com/wotlk/item=41198
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Mail Armor",epic,40991,https://wowhead.com/wotlk/item=40991
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Mail Gauntlets",epic,41006,https://wowhead.com/wotlk/item=41006
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Mail Leggings",epic,41032,https://wowhead.com/wotlk/item=41032
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Mooncloth Gloves",epic,41873,https://wowhead.com/wotlk/item=41873
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Mooncloth Leggings",epic,41863,https://wowhead.com/wotlk/item=41863
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Mooncloth Robe",epic,41858,https://wowhead.com/wotlk/item=41858
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Ornamented Chestguard",epic,40905,https://wowhead.com/wotlk/item=40905
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Ornamented Gloves",epic,40926,https://wowhead.com/wotlk/item=40926
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Ornamented Legplates",epic,40938,https://wowhead.com/wotlk/item=40938
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Plate Chestpiece",epic,40786,https://wowhead.com/wotlk/item=40786
"Vault of Archavon N25",Archavon,"Deadly Gladiator's Plate Gauntlets",epic,40804,https://wowhead.com/wotlk/item=40804
